type,text
Retweet,"Con estos apoyos de @joseantoniokast y @martinarrau voy #SinMiedo a #SinFiltro a defender nuestras ideas de quienes quieren refundar Chile 

#1eraEnLaListaDeKast #HayEquipo 💪♥️🇨🇱 https://t.co/lkiYmz1wcW"
Tweet,"Familias que llevan esperando más de 10 años por su casa propia, son atacados por 200 delincuentes que se tomaron sus departamentos y los ocupan ilegalmente. Una situación gravísima que requiere de intervención inmediata por el gobierno. https://t.co/Qv9rHZC9BA"
Retweet,🔴#LaTerceraPM | Columna de Cristián Valenzuela: Monotonía https://t.co/MxhRC0SX5H https://t.co/uUZEuxiTqN
Retweet,"🔴 AHORA ❗

Conéctate al #LIVE de @joseantoniokast junto a los candidatos al #ConsejoConstitucional de la región de #Tarapacá 
👉🏻 https://t.co/QyfL7m7pmy https://t.co/59ks6NJjrG"
Retweet,"¡EN POCOS MINUTOS MÁS!

@Joseantoniokast junto a los candidatos de la REgión de #Tarapacá
Conéctate al #LIVE y REConoce a tu candidato 💪🏻

👉🏻 https://t.co/QyfL7m7pmy https://t.co/uIexYjVG86"
Retweet,"#HablemosEnOff @arturo_squella ""No tenemos ningún complejo de recoger todo lo bueno de la Constitución actual"" 

https://t.co/Oz6xkdFFEm https://t.co/mzpPOJF9G2"
Retweet,"#HablemosEnOff @arturo_squella ""Venir a decir que todo lo va a arreglar la Constitución, es pasarse varios pueblos y comprarse el discurso que durante varios años ha tenido la izquierda"" 

https://t.co/Oz6xkdFFEm https://t.co/LFmpxtxXkn"
Tweet,Terminando la #ReGiraRepublicana en la región de Arica Parinacota  junto a los candidatos a consejeros constituyentes @DiegoVargasXV @francavieresdm @jacqueline5824 @carlos_conse y ahora camino a la región de Tarapaca ✌️🇨🇱 https://t.co/ZO9Fwlr7cs
Tweet,"Terminando la gira en #Arica para partir mañana a primera hora a #Iquique. Gracias por el gran trabajo a nuestros #consejerosconstitucionales.
Este 7 de mayo vota #Republicanos . #VotaC https://t.co/3mg5WYXkRn"
Retweet,"¿La cimarra de los profesores? 
En la comisión de Educación de la Cámara se está discutiendo una iniciativa, en la cual se elimina una de las evaluaciones que les corresponde rendir a los profesores de establecimientos públicos.

Conoce mas detalles ➡️https://t.co/CH9TOLdZVt"
Retweet,"🔴 AHORA

@joseantoniokast junto a los candidatos al Consejo Constitucional de la región de #Arica 

No te lo pierdas 👉🏻https://t.co/4A5VCPmIHX https://t.co/Ua3Xq3lEjC"
Tweet,Necesitamos una Constitución que asegure a todos los chilenos el derecho a vivir en un país libre de narcotráfico. No podemos permitir que el narco-comunismo siga avanzando.
Retweet,"Sabías que en Chile existe  #VinoIlegal elaborado por desechos de uva o con mezclas de uvas de menor calidad con el fin de bajar los costos? En nuestro país avanza un proyecto que aumenta las sanciones a quienes comentan este tipo de prácticas.

Detalles👉🏻 https://t.co/eHl8WNfomB https://t.co/hSuXq5cycJ"
